post_id,author,timestamp,timestamp_ms,content_text,scrape_time
357223496,Unknown,2025-04-13 03:10:55,1744513855930.0,$CVX is it will break first? i see the fundamental in 2 days like bearish trend,2025-04-13 10:09:14
357201350,Unknown,2025-04-12 10:46:38,1744454798104.0,$CVX is it will break first? i see the fundamental in 2 days like bearish trend,2025-04-13 10:09:15
357171469,Unknown,2025-04-11 11:00:06,1744369206578.0,$CVX is it will break first? i see the fundamental in 2 days like bearish trend,2025-04-13 10:09:15
357158828,Unknown,2025-04-11 03:46:45,1744343205072.0,$CVX is it will break first? i see the fundamental in 2 days like bearish trend,2025-04-13 10:09:16
357155764,Unknown,2025-04-11 01:49:45,1744336185567.0,$CVX is it will break first? i see the fundamental in 2 days like bearish trend,2025-04-13 10:09:17
357078981,Unknown,2025-04-08 21:17:16,1744147036997.0,$CVX is it will break first? i see the fundamental in 2 days like bearish trend,2025-04-13 10:09:18
357077795,Unknown,2025-04-08 18:24:03,1744136643871.0,I'm bullish on $CVX,2025-04-13 10:09:18
357067095,Unknown,2025-04-08 10:19:20,1744107560234.0,"$CVX
#Cvx
In Late October Cvx Went More Then 3x After Breakout, Now Again On Verge Of Falling Wedge Breakout, Expecting Another Strong Bullish Rally After Successful Breakout.",2025-04-13 10:09:23
356942164,Unknown,2025-04-04 01:40:45,1743730845263.0,"【
  CoinUp.io
Daily Market Digest】📊
Gain today's critical crypto market insights at a glance!
Top Gainers 🥳 $ME $CVX $POPCAT
Trade on 👉
  coinup.io/en_US/trade
#FearGreedIndex
#TopGainers",2025-04-13 10:09:24
356771312,Unknown,2025-03-30 10:38:18,1743331098320.0,I'm bullish on $CVX,2025-04-02 14:58:20
356734349,Unknown,2025-03-29 02:04:45,1743213885470.0,I'm bullish on $CVX,2025-04-02 14:58:21
356639918,Unknown,2025-03-26 12:06:07,1742990767852.0,I'm bullish on $CVX,2025-04-02 14:58:21
356599576,Unknown,2025-03-25 12:10:56,1742904656860.0,I'm bullish on $CVX,2025-04-02 14:58:22
356470848,Unknown,2025-03-22 06:16:27,1742624187332.0,I'm bullish on $CVX,2025-04-02 14:58:22
356446490,Unknown,2025-03-21 11:25:49,1742556349679.0,I'm bullish on $CVX,2025-04-02 14:58:23
356368266,Unknown,2025-03-19 08:31:45,1742373105116.0,"$CVX is steady at $1.73, aiming for $4.90. Backed by $TRX and Bitcoin’s dominance, growth potential is high. Keeping an eye on $BTC dominance will help traders spot ideal entries and capitalize on $CVX’s bullish setup.",2025-04-02 14:58:31
356263761,Unknown,2025-03-16 01:52:45,1742089965460.0,I'm bullish on $CVX,2025-04-02 14:58:32
